RECORD #	qid	LANG	245|abnp	full_location	publisher_text	P123	Dates	subj_text	author_cleaned	P50
b49538317		eng	Ratzlaffe funnies	Q685335	Brouhaha Studio			Funny horror Comic books, strips, etc		
b122011120		eng	Nightstar promo book	Q7306754	Larry Blake		1989	Superheroine Comic books, strips, etc; New wave Comic books, strips, etc	Larry Blake	
										
b117578587		eng	Rotgut funnies	Q7306754	Rock Bottom Studio		2006	New wave Comic books, strips, etc		
b121820282		eng	Kevin Cool	Q7306754	Rock Bottom Studio		2006	New wave Comic books, strips, etc		
b121821559		eng	Kevin Cool coloring book	Q7306754	Rock Bottom Studio		2010	Coloring books; New wave Comic books, strips, etc	Larry Blake	
										
b117578563		eng	Rotgut funnies	Q7306754	Larry Blake			New wave Comic books, strips, etc		
b107326012		eng	Nightstar	Q7306754	Larry Blake			Superheroine Comic books, strips, etc; New wave Comic books, strips, etc		
										
b121809699		eng	Psychozort annual 80	Q7306754	Larry Blake			New wave Comic books, strips, etc. History and criticism Periodicals		
b122011156		eng	Adventures in mini-comics land	Q7306754	Larry Blake			New wave Comic books, strips, etc		
b82149239		eng	Terra X	Q7332803	Insta-Graphics		1992	Alternative Comic books, strips, etc. History and criticism Periodicals; Alternative rock music History and criticism Periodicals		
										
b29547362		eng	Moon shot : the flight of Apollo 12	Q7398982	Pepper Pike Graphix		1994	Project Apollo (U.S.) Comic books, strips, etc; Space flight to the moon; Educational Comic books, strips, etc; Educational comics		
										
										
										
b71111177		eng	Quadrant : the chronicles of Jorn Fataal	Q919402	Force Publishing		1993	Science fiction comic books, strips, etc		
b106294349		eng	Flame-broiled	Q1065497	Medusa Comics		2002	New wave Comic books, strips, etc		
b25650294		eng	Mad & related articles to May 30, 1991	Q978968	Michael Lerner		1991	Mad Bibliography; Comic books, strips, etc. Bibliography	Michael Lerner	
										
b122019623		eng	Smithadventures	Q40325	Rock Bottom Comics		1986	New wave Comic books, strips, etc; Fantasy; Fantasy comic books, strips, etc		
										
										
b3887278x		eng	Dungar the barbarian	Q986314	Dimestore Productions		1986	New wave Comic books, strips, etc		
b105885939		eng	Herman Hanks, time traveler	Q986314	Dimestore Productions		1986	New wave Comic books, strips, etc		
b105885964		eng	Herman Hanks team-up special	Q986314	Dimestore Productions		1987	New wave Comic books, strips, etc		
b48763159		eng	Beanmaster	Q986314	Dimestore Productions			New wave Comic books, strips, etc; Superheroes		
										
b49744689		eng	Senseless random violence	Q986314	Dimestore Productions			New wave Comic books, strips, etc		
b51633334		eng	Self publisher	Q986314	Dimestore Productions			New wave Comic books, strips, etc. Publishing		
b51846998		eng	Imaginex comix	Q2037522	Sudsy Publications		1977	Science fiction; New wave Comic books, strips, etc		
										
b84005397		eng	A cold day in heaven	Q2583844	Maerkle Press		2004	Spy Comic books, strips, etc	Thomas F Zahler	
b118354188		eng	Love and capes. Issue 13	Q2583844	Maerkle Press		2010	Superheroes	Thomas F Zahler	
b53595476		eng	Love and capes	Q2583844	Maerkle Press			Superheroes		
b38678457		eng	Kasco komics	Q49239	Kasco Mills		1945	Feeds; Advertising		
										
b51976675		eng	Smashmasters newsletter	Q49239	Gene Bearringer		1981	Superheroes		
b10602176x		eng	Meg for mayor : selections from the syndicated comic strip Murphy's manor	Q49239	Kurt Erichsen	Q28530026	1985	Gay men	Kurt Erichsen	Q28530026
b17025692		eng	Savoir-fairy : selections from the syndicated comic strip Murphy's manor	Q49239	Kurt Erichsen	Q28530026	1986	Gay men	Kurt Erichsen	Q28530026
b122011077		eng	As a joke	Q49239	Steven Mark Shipley		1986	New wave Comic books, strips, etc	Eric Robertson	Q5387377
b97690314		eng	Dead boring	Q49239	Gnarly Press Productions		1990	Alternative rock music Periodicals; Alternative rock music Ohio Toledo Periodicals; Popular culture United States Periodicals; Alternative Comic books, strips, etc; Fan magazines		
										
										
										
										
b51843584		eng	A mystery in 13 pages	Q49239	Ghoulstomper		2004	Stories without words; Detective and mystery comic books, strips, etc; New wave Comic books, strips, etc	Kokuei Ookami	
										
										
b51843973		eng	Rōnin	Q49239	Ghoulstomper		2004	New wave Comic books, strips, etc	Kokuei Ookami	
b51843110		eng	The hip mortician	Q49239	Ghoulstomper		2004	Funny horror Comic books, strips, etc; New wave Comic books, strips, etc		
										
b51843225		eng	Mike Spike the punk rock skeleton	Q49239	Ghoulstomper		2004	Funny horror Comic books, strips, etc; New wave Comic books, strips, etc		
										
b51843274		eng	Pancake Joe	Q49239	Ghoulstomper		2004	Superheroes; New wave Comic books, strips, etc		
										
b51843456		eng	Matt & Dee	Q49239	Ghoulstomper		2004	Funny horror Comic books, strips, etc; New wave Comic books, strips, etc		
										
b106294386		eng	Three men and a brain special	Q49239	Ghoulstomper		2004	New wave Comic books, strips, etc		
b51843353		eng	Learn how to milk a cow with Rollo	Q49239	Ghoulstomper		2005	New wave Comic books, strips, etc	Robin Norlén	
b51843407		eng	Admiral A.D.D	Q49239	Ghoulstomper		2005	Adventure story Comic books, strips, etc; New wave Comic books, strips, etc		
										
b51817123		eng	Caddy chronicles	Q49239	Stryker Publications		2000-2009	Golf; New wave Comic books, strips, etc	Scott Small	
										
b21848270		eng	Future gold	Q49239	Geoffrey Schutt			Comic books, strips, etc. Collectors and collecting Periodicals		
b4195399x		eng	Fantascape	Q49239	Steven Mark Shipley			New wave Comic books, strips, etc		
b53441254		eng	Alpha-omega	Q49239	Christian Comic Arts Society			Christianity; Religious Comic books, strips, etc. History and criticism Periodiocals; Comic books, strips, etc. History and criticism Periodicals		
										
										
b10736749x		eng	Sub comic	Q49239	Sub Publications.			New wave Comic books, strips, etc		
b108426324		eng	Comicline	Q49239	King's Comics & Cards.			Comic books, strips, etc. History and criticism Periodicals		
b121503409		eng	Blood & thunder	Q49239	London Mitchell			Fantasy; Fantasy comic books, strips, etc		
										
b72432123		eng	Barney Bear wakes up	Q1018285	Barbour Publishing, Inc	Q111589562	1977	Christianity; Funny animal Comic books, strips, etc; Religious Comic books, strips, etc	Al Hartley	Q2829337
										
										
b41757178		eng	He's the greatest	Q1018285	Barbour Publishing, Inc	Q111589562	1986	Jesus Christ Comic books, strips, etc; Religious Comic books, strips, etc	Al Hartley	Q2829337
										
b4017928x		eng	God is ..	Q1018285	Barbour Publishing, Inc	Q111589562	1988	Christianity; Funny kid Comic books, strips, etc; Religious Comic books, strips, etc	Al Hartley	
										
										
b72432093		eng	Barney Bear family tree	Q1018285	Barbour Publishing, Inc	Q111589562	1988	Christianity; Funny animal Comic books, strips, etc; Religious Comic books, strips, etc	Al Hartley	
										
										
b39371311		eng	Hudson Taylor	Q1018285	Barbour Publishing, Inc	Q111589562	1993	Taylor, James Hudson, 1832-1905; Missions China History Comic books, strips, etc	Susan Martins Miller	
										
b4175718x		eng	David	Q1018285	Barbour Publishing, Inc	Q111589562	1993	David, King of Israel Comic books, strips, etc; Religious Comic books, strips, etc	Al Bohl	
										
b49136847		eng	The comic book Bible	Q1018285	Barbour Publishing, Inc	Q111589562	1995	Bible stories, English; Religious Comic books, strips, etc	Rob Suggs	
										
b81917582		eng	Basket case	Q1018285	Barbour Publishing, Inc	Q111589562	2005	Christian teenagers; Teenagers Conduct of life Comic books, strips, etc; Christian life; Religious Comic books, strips, etc	Min Kwon	
										
										
										
b102628087		eng	Snow biz	Q1018285	Barbour Publishing, Inc	Q111589562	2005	Christian life; Religious Comic books, strips, etc	Min Kwon	
										
b104601292		eng	Stepping out	Q1018285	Barbour Publishing, Inc	Q111589562	2005	Christian life; Religious Comic books, strips, etc	Min Kwon	
										
b112658465		eng	Bad girl in town	Q1018285	Barbour Publishing, Inc	Q111589562	2005	Christian life; Religious Comic books, strips, etc	Min Kwon	
										
b71428690		eng	You shall love	Q1018285	Barbour Publishing, Inc	Q111589562	2006	Christian life; Religious Comic books, strips, etc	Min Kwon	
										
b102628130		eng	Rave-n-rant	Q1018285	Barbour Publishing, Inc	Q111589562	2006	Christian teenagers Comic books, strips, etc. Juvenile fiction; Christian life; Religious Comic books, strips, etc	Min Kwon	
										
										
b88150094		eng	Jury rigged comics	Q1762816	Sean McGurr		2004	New wave Comic books, strips, etc		
b25319632		eng	Dateline: Comicdom	Q485628	Ronn Foss		1963	Comic books, strips, etc. History and criticism Periodicals; Fan magazines		
										
b51329426		eng	Rapunzel	Q2233911	Michael David Productions		1992	Superheroine Comic books, strips, etc; New wave Comic books, strips, etc	Michael David Toth	
										
b107402725		eng	Star trek : the key collection. Volume 5	Q2136238	Checker Book Publishing Group	Q5089106	2006	Science fiction comic books, strips, etc		
b76711961		eng	Beetle Bailey	Q2136238	Checker Book Publishing Group	Q5089106	2008	Funny military Comic books, strips, etc	Addison Mort Walker	
b81645818		eng	Shock & awe	Q2136238	Checker Book Publishing Group	Q5089106	2008	Superheroes	Tony Bedard	
b48616242		eng	Nuance	Q22748849	Magnetic Ink		1989	New wave Comic books, strips, etc		
b40787850		eng	Comicist	Q22748849	Rocket Comics			New wave Comic books, strips, etc. Reviews Periodicals; Fan magazines Reviews Periodicals		
										
b119418939		eng	True fan adventure theater	Q2233932	Dwight R. Decker	Q111603748	1969	Comic books, strips, etc. Periodicals; Fan magazines		
										
b104519253		eng	Feline vendetta : a true story	Q2233932	Crazy Monkey Girl Head		2001	New wave Comic books, strips, etc; Cats	tv-fisch	
										
b120712714		eng	Freon	Q2233932	Dwight R. Decker			Comic books, strips, etc. History and criticism Periodicals; Fan magazines		
										
b23961922		eng	Happy	Q960131	Wonder Comics	Q8031741	1990	Superheroes		
b40590938		eng	News-herald comic book : the collectable comics	Q2233824	The News-Herald	Q7753892	1983	Comic books, strips, etc		
b4059094x		eng	The News-herald collectable comics	Q2233824	The News-Herald	Q7753892	1986	Comic books, strips, etc		
b40590860		eng	The Lake County news-herald comic book : the collectable comics	Q2233824	The News-Herald	Q7753892		Comic books, strips, etc		
b16941159		eng	Rion 2990	Q989567	Rion Productions		1986	Science fiction comic books, strips, etc	Doug Bramer	
b39982518		eng	The Boogieman	Q989567	Rion Productions		1986	Horror comic books, strips, etc		
b49260765		eng	Blood ties	Q989567	Full Moon Graphics		1991	Horror; Vampires		
										
b38631003		eng	Trains of yesteryear	Q1926837	NBCUniversal Entertainment Japan LLC	Q1205595	1973	Educational Comic books, strips, etc; Railroads History; Railroads History Comic books, strips, etc; Educational comics	Jim Baker	
										
										
										
b17355059		eng	RoboStick	Q1926837	Michael Carroll		1987	New wave Comic books, strips, etc	Michael A Carroll	
b6743857x		eng	Getting graphic! : using graphic novels to promote literacy with preteens and teens	Q1926837	Linworth Publishing		2003	Comic books, strips, etc., in education	Michele Gorman	
b101615619		eng	Marvel Heroes Puzzle peril!	Q1926837	Brighter Minds Media		2007	Superhero Comic books, strips, etc. Miscellanea	Randy Meredith	
b71880239		eng	Garfield : I would have written sooner, but...	Q49000	Antioch Publishing Company		1978	Funny animal Comic books, strips, etc	Jim Davis	Q318953
b22269861		eng	Afterworld	Q49000	Dark Star Collectables			Superheroine Comic books, strips, etc		
b104654429		eng	Blakemail material	Q49000	Zoo Comics.			New wave Comic books, strips, etc		
b119440052		eng	The kindlin' quarterly	Q49000	Kindlin' Quarterly			New wave Comic books, strips, etc		
b15000205		eng	Ohiocon '75 official program booklet	Q216820	publisher not identified		1975	Youngstown Comic Art Association; Comic books, strips, etc. Congresses	Ohiocon (1975 : Youngstown, Ohio)	
										
b22270292		eng	Agent Gedon	Q216820	J. Zabel in association with Pig Iron Press		1980	Detective and mystery comic books, strips, etc; Science fiction comic books, strips, etc		
										
b48712619		eng	The bird dog	Q216820	Joe Zabel		1982	New wave Comic books, strips, etc; Mali Comic books, strips, etc	Joe Zabel	Q16185675
										
b71408654		eng	Rebel graphics	Q216820	Rebel Graphics		1984	Alternative Comic books, strips, etc		
b41791575		eng	Safe comix	Q216820	Graphic Graphix		1988	New wave Comic books, strips, etc		
b29157171		eng	Substance quarterly	Q216820	Substance Comics		1994	Fantasy; Superheroes; Fantasy comic books, strips, etc		
										
										
b100998549		eng	Mr. Beat adventures	Q216820	Moordam Comics		1997	Alternative Comic books, strips, etc		
b39606661		eng	Mr. Beat's house of burning jazz love	Q216820	Moordam Comics		1997	Alternative Comic books, strips, etc		
b51336662		eng	Mr. Beat superstar	Q216820	Moordam Comics		1998	Alternative Comic books, strips, etc		
b51336716		eng	Mr. Beat's babes and bongos annual	Q216820	Moordam Comics		1998	Alternative Comic books, strips, etc		
b118820436		eng	Spells	Q216820	Airwave Comics		2002	Funny horror Comic books, strips, etc		
b2191266x		eng	City limits comix	Q216820	Bruce Chrislip			New wave Comic books, strips, etc		
b81857512		eng	Courageous Man adventures	Q216820	Moordam Comics			Superheroes		
